timestamp_unix_s,timestamp_perf_s,sensor1_x,sensor2_x,sensor3_x,sensor4_x,sensor5_x,sensor6_x,sensor7_x,sensor8_x,sensor1_y,sensor2_y,sensor3_y,sensor4_y,sensor5_y,sensor6_y,sensor7_y,sensor8_y,sensor1_z,sensor2_z,sensor3_z,sensor4_z,sensor5_z,sensor6_z,sensor7_z,sensor8_z,sensor1_mag,sensor2_mag,sensor3_mag,sensor4_mag,sensor5_mag,sensor6_mag,sensor7_mag,sensor8_mag
1781981654.0809546,47647.662747383,0.0,-7.19970703125,0.0,283.19970703125,43.199951171875,134.39990234375,-33.5999755859375,31.2001953125,0.0,-14.39990234375,0.0,-2.39990234375,-38.40000915527344,-48.0,-16.79998779296875,-16.800048828125,0.0,30.975830078125,0.0,387.2001953125,30.97601318359375,135.52001953125,3.8720703125,15.4873046875,0.0,34.909812927246094,0.0,479.7205505371094,65.57674407958984,196.80703735351562,37.76494216918945,38.67234802246094
1781981654.1060288,47647.687821467,0.0,-12.0,0.0,283.19970703125,38.39990234375,124.800048828125,-36.0,31.2001953125,0.0,-16.800048828125,0.0,-2.39990234375,-40.80000305175781,-48.0,-14.39996337890625,-16.800048828125,0.0,23.23193359375,0.0,394.9443359375,23.23199462890625,139.39208984375,3.8720703125,15.4873046875,0.0,31.079967498779297,0.0,485.9926452636719,60.65408706665039,193.15589904785156,38.966033935546875,38.67234802246094
1781981654.1288989,47647.710691594,0.0,-9.599609375,0.0,280.7998046875,38.39990234375,127.199951171875,-36.0,26.39990234375,0.0,-12.0,0.0,0.0,-40.80000305175781,-48.0,-16.79998779296875,-16.800048828125,0.0,27.10400390625,0.0,394.9443359375,19.3599853515625,127.776123046875,-3.8720703125,15.4873046875,0.0,31.15733528137207,0.0,484.5921630859375,59.27901840209961,186.57589721679688,39.91531753540039,34.914939880371094
1781981654.1523442,47647.734136736,0.0,-12.0,0.0,278.39990234375,36.0,127.199951171875,-38.39996337890625,26.39990234375,0.0,-9.60009765625,0.0,-4.800048828125,-38.40000915527344,-48.0,-12.0,-12.0,0.0,23.23193359375,0.0,379.4560546875,23.23199462890625,139.39208984375,-3.8720703125,7.744140625,0.0,27.854703903198242,0.0,470.65533447265625,57.53508758544922,194.7151336669922,40.417198181152344,30.015438079833984
1781981654.1791039,47647.760896612,0.0,-14.39990234375,0.0,271.19970703125,40.7999267578125,122.39990234375,-40.79998779296875,26.39990234375,0.0,-12.0,0.0,-4.800048828125,-40.80000305175781,-52.80029296875,-9.5999755859375,-16.800048828125,0.0,19.35986328125,0.0,383.328125,23.23199462890625,131.64794921875,-3.8720703125,7.744140625,0.0,26.947383880615234,0.0,469.587890625,62.20128631591797,187.35205078125,42.092655181884766,32.23613357543945
1781981654.2141302,47647.795922859,0.0,-7.19970703125,0.0,268.7998046875,33.5999755859375,117.60009765625,-40.79998779296875,26.39990234375,0.0,-7.199951171875,0.0,-7.199951171875,-38.40000915527344,-45.60009765625,-7.199951171875,-14.39990234375,0.0,15.48779296875,0.0,375.583984375,15.48797607421875,127.776123046875,-11.615966796875,7.744140625,0.0,18.535015106201172,0.0,461.91827392578125,53.323509216308594,179.54356384277344,43.02800369262695,31.052919387817383
1781981654.2406855,47647.822478166,0.0,-14.39990234375,0.0,276.0,40.7999267578125,122.39990234375,-43.199951171875,26.39990234375,0.0,-7.199951171875,0.0,-2.39990234375,-40.80000305175781,-45.60009765625,-7.199951171875,-14.39990234375,0.0,34.847900390625,0.0,367.84033203125,19.3599853515625,131.64794921875,-15.488037109375,7.744140625,0.0,38.387142181396484,0.0,459.8785400390625,60.861183166503906,185.4515838623047,46.45378875732422,31.052919387817383
1781981654.2656515,47647.847443714,0.0,-16.7998046875,0.0,273.599609375,33.5999755859375,117.60009765625,-43.199951171875,26.39990234375,0.0,-4.800048828125,0.0,-2.39990234375,-33.600006103515625,-43.2001953125,-4.79998779296875,-12.0,0.0,27.10400390625,0.0,367.84033203125,23.23199462890625,123.904052734375,0.0,11.615234375,0.0,32.247493743896484,0.0,458.44195556640625,52.892765045166016,176.2051544189453,43.46580123901367,31.238895416259766
1781981654.2941499,47647.875942603,0.0,-16.7998046875,0.0,278.39990234375,31.199951171875,120.0,-36.0,21.60009765625,0.0,-4.800048828125,0.0,-4.800048828125,-31.199996948242188,-40.80029296875,-12.0,-12.0,0.0,27.10400390625,0.0,363.96826171875,19.3599853515625,127.776123046875,15.488037109375,15.4873046875,0.0,32.247493743896484,0.0,458.2602233886719,48.183876037597656,179.9761199951172,40.986331939697266,29.161975860595703
1781981654.3180819,47647.899874688,0.0,-19.19970703125,0.0,280.7998046875,40.7999267578125,120.0,-33.5999755859375,24.0,0.0,-7.199951171875,0.0,-4.800048828125,-28.800003051757812,-38.39990234375,-2.39996337890625,-9.60009765625,0.0,19.35986328125,0.0,360.09619140625,19.3599853515625,120.031982421875,19.35986328125,19.359375,0.0,28.200572967529297,0.0,456.6627197265625,53.56195831298828,174.0178985595703,38.85257339477539,32.29469299316406
