Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
8.33,2,2,0,-5,-5,3,-3,-5,8,0,0,-8
8.36,-3,-3,-4,-3,2,3,-5,5,4,7,0,-8
8.39,-3,-3,0,0,-3,3,-3,-2,8,0,-2,-8
8.44,-3,2,3,0,-3,6,2,-5,4,2,-2,0
8.46,-3,0,6,0,0,0,-3,-2,11,2,0,0
8.49,0,2,-4,-3,0,3,-3,5,4,0,-2,4
8.52,0,2,3,0,0,6,-3,-2,8,0,-5,0
8.56,2,7,-4,7,-3,0,-5,0,4,4,-2,-4
8.59,-5,0,-8,0,-5,-4,-3,-2,11,2,-2,-8
8.62,4,2,0,-3,-3,0,0,2,0,0,-5,-4
8.67,-3,2,6,0,-5,3,0,-2,0,2,0,-4
8.70,4,4,0,-3,-3,6,-5,0,4,9,-2,-4
8.73,0,4,3,-3,-5,6,-3,2,-4,4,-2,-8
8.78,2,2,-12,-3,-5,6,-5,0,4,2,-2,4
8.80,0,0,0,-5,-3,6,-3,0,0,4,0,-8
8.86,-5,4,0,2,-3,3,-3,-7,8,2,-5,-8
8.89,-3,0,0,-3,-3,-4,0,0,4,4,0,4
8.92,2,2,-4,0,2,3,0,-5,8,7,-5,-4
8.95,2,2,6,0,-3,6,-7,0,4,4,0,0
8.97,0,2,-4,-3,0,3,-3,2,4,-3,0,-4
9.02,2,2,-4,0,0,0,0,0,0,4,0,0
9.04,0,2,-4,0,2,6,-3,-2,8,7,-5,0
9.08,-3,2,0,0,-3,0,-3,-2,-8,2,0,-4
9.11,-3,7,3,-3,-3,3,-3,0,4,4,0,4
9.15,2,2,-4,0,-5,6,2,0,4,2,0,4
9.19,2,2,-8,2,0,0,-3,-5,4,2,-2,0
9.23,0,0,0,2,-5,6,-3,-2,4,0,-2,-8
9.25,0,4,-4,0,-3,3,0,-2,0,0,0,0
9.29,4,2,0,-3,-5,6,0,-5,-4,0,0,0
9.32,0,4,-4,0,-3,6,-7,-5,4,4,-2,-12
9.36,0,0,-4,4,-3,3,0,-5,0,2,0,0
9.39,4,4,3,-8,-5,3,2,2,4,2,0,-4
9.42,0,2,-4,-3,-3,3,-3,0,4,2,-2,-4
9.47,2,0,0,2,0,3,-3,-2,8,0,0,0
9.49,-3,2,-8,0,0,3,-3,-2,8,2,0,-4
9.52,-5,9,-8,-3,-3,6,-3,0,8,2,0,-4
9.57,2,-3,3,2,-5,3,-3,0,0,2,-2,-4
9.60,2,7,3,2,-3,3,-5,-2,8,0,-2,4
9.63,-3,4,0,0,-3,0,-5,0,0,0,0,-4
9.68,0,2,-4,-3,0,3,-3,-2,4,2,0,0
9.70,0,4,-4,2,0,3,-10,-5,8,0,0,-4
9.76,2,2,-4,2,-3,6,-3,-2,4,2,-2,-4
9.78,0,-3,0,-3,-3,0,-3,-5,4,0,3,0
9.83,0,2,0,-3,-3,0,-3,-2,4,2,-2,-8
9.86,2,4,3,-3,-3,3,0,-2,4,2,0,-12
9.90,2,4,3,2,-3,3,0,0,4,7,0,-4
9.94,0,4,-4,-3,-3,0,-3,2,0,2,-2,-4
9.97,0,2,0,0,-5,6,0,-2,0,0,0,0
10.00,0,2,0,0,0,3,-5,-2,-4,4,3,-4
10.05,0,4,-4,-5,-3,0,0,-5,0,-3,-5,4
10.07,-3,2,0,2,-3,3,-3,-2,11,4,0,0
10.10,2,7,-8,0,-3,6,-3,0,4,4,3,0
10.14,2,2,-4,0,-3,6,-5,2,4,2,-2,4
10.17,2,2,0,0,0,6,0,-2,0,2,0,-8
10.22,2,7,-4,-3,-3,3,-3,2,4,2,-2,0
10.27,2,4,-4,-5,-5,3,-3,-5,4,0,3,-4
10.31,0,2,-4,-5,-3,0,0,-2,0,0,-2,-8
10.35,0,2,0,2,-3,3,-5,-2,8,4,-2,-8
10.38,0,4,0,-3,0,6,-7,0,8,2,-2,-8
10.42,2,2,-4,-3,-8,0,-5,0,4,2,0,-4
10.45,2,7,0,-3,-5,0,-3,-2,4,2,0,4
10.50,2,0,0,0,-3,10,-3,-2,4,4,0,-8
10.52,4,4,-12,-3,-5,10,-7,2,8,4,-2,-8
10.56,2,4,-4,-3,-3,0,0,2,0,4,-2,-8
10.60,0,0,3,4,0,3,-3,2,0,0,5,-12
10.63,-3,7,3,-3,-5,6,-3,0,4,-3,0,0
10.67,4,4,-8,0,0,0,-3,0,4,0,-2,-4
10.71,0,0,-8,0,-5,0,-3,0,0,2,0,0
10.75,2,4,-12,-3,0,3,-5,0,4,4,0,0
10.80,0,2,-4,0,-3,6,-5,-5,8,0,-2,0
10.83,-3,4,0,0,-5,10,0,0,4,7,-2,0
10.86,4,2,0,-3,2,3,0,2,4,2,0,-4
10.90,2,2,0,-5,-5,6,0,2,0,2,5,-16
10.93,0,7,-4,4,-3,3,0,0,8,2,3,-4
10.95,2,4,0,2,-5,3,-3,0,4,4,5,4
10.98,2,7,0,-5,-3,3,-3,-2,4,4,0,-4
11.03,2,4,0,0,-3,3,-3,0,4,2,0,-8
11.06,0,4,3,0,-5,6,-3,0,4,-3,-2,-12
11.10,0,4,0,0,-3,0,-3,-2,0,2,3,0
11.14,0,4,-4,-5,0,0,-3,2,8,0,0,0
11.18,0,4,-4,-3,-5,6,2,-2,8,2,0,-4
11.23,2,4,-4,0,-3,3,0,0,0,0,-2,0
11.26,4,7,-4,-5,2,3,0,0,4,2,-2,0
11.29,2,0,0,-5,0,3,0,0,0,0,5,-8
11.33,-3,2,0,2,0,3,2,0,4,7,3,-4
11.36,2,2,6,0,0,6,-7,0,4,0,0,-8
11.39,2,4,3,0,-3,6,-3,0,4,0,0,-4
11.43,0,7,0,-5,-3,3,-3,-2,4,4,-2,-4
11.46,0,2,0,-8,-3,6,-3,-2,0,2,0,4
11.49,2,0,-4,0,-3,6,0,0,4,0,0,-4
11.54,4,2,0,0,0,3,-5,-2,0,2,5,-4
11.57,0,4,-4,-3,-5,6,-5,-2,4,2,0,-8
11.61,0,0,-4,-5,-3,6,2,0,8,-3,0,0
11.64,2,4,0,0,-3,0,0,0,4,4,0,-4
11.69,0,7,0,-3,-3,6,0,-7,4,0,3,-8
11.72,2,7,0,-3,-3,0,-5,-2,8,0,-2,0
11.76,-3,4,3,-3,-3,0,2,2,0,0,0,-8
11.78,-5,4,0,0,4,6,-3,0,4,0,0,0
11.84,4,2,0,2,0,3,-5,0,4,0,0,0
11.89,0,7,0,-3,-3,0,0,-5,4,2,3,-4
11.92,0,2,3,-3,-3,3,0,0,-4,4,0,-4
11.97,0,4,0,0,0,0,-3,-5,4,-3,0,-4
12.00,0,7,0,-3,-3,0,-3,-2,4,0,3,0
12.04,4,0,-8,0,2,3,-3,0,4,-3,3,-4
12.07,2,4,0,-3,2,-4,-5,-2,0,-3,0,0
12.12,2,4,-8,0,-3,3,-3,0,-4,0,-2,-4
12.15,0,0,3,-3,0,3,-3,-2,0,-3,0,-4
12.19,-3,4,3,2,-5,-4,2,0,0,4,-2,4
12.22,0,2,-4,0,0,3,-5,2,11,4,3,-8
12.27,0,4,-8,2,-3,6,-3,0,4,2,0,-4
12.30,0,4,6,0,-5,3,-3,-5,0,4,-2,0
12.35,2,2,-4,-3,-3,6,-3,-5,8,2,0,-8
12.38,2,2,6,2,0,3,-3,2,4,0,3,0
12.40,0,0,-4,-3,-3,6,0,0,8,0,3,-4
12.45,2,4,6,2,-3,6,0,2,0,2,5,0
12.48,0,0,-8,-5,2,3,-7,-5,4,2,-2,0
12.51,-3,4,-4,-3,0,3,-5,0,4,4,0,0
12.55,2,4,3,-3,2,3,-3,-2,11,7,0,-4
12.60,0,2,3,-3,-3,3,-3,2,4,0,0,0
12.63,-3,2,-4,0,-3,3,-5,2,8,2,3,0
12.68,4,4,0,-3,-5,-4,-3,2,4,-3,3,-8
12.71,0,0,-4,-3,-3,3,-5,0,8,2,-2,-4
12.74,0,4,3,0,-5,3,-3,-2,0,2,0,0
12.78,-3,4,3,-3,0,10,-5,-2,8,-3,0,-4
12.81,-3,-3,3,-3,-3,6,-3,0,4,2,0,-4
12.85,4,2,-4,-5,2,0,0,0,4,2,-2,-4
12.88,0,4,-8,0,2,0,-3,-5,0,-5,0,-8
12.91,0,4,0,-3,0,3,-3,-2,0,0,3,0
12.96,-5,4,0,0,-3,0,0,0,4,2,0,-4
12.98,-3,2,0,0,2,0,-5,0,4,0,0,-4
13.03,2,4,-4,0,-3,6,-5,0,0,2,-2,-8
13.06,0,9,0,-3,-3,3,0,-2,4,0,0,0
13.11,2,7,-4,0,-5,3,-5,-2,0,4,0,-4
13.14,2,2,3,0,2,3,0,0,8,4,0,-8
13.19,0,4,3,0,0,6,-3,-2,-4,0,-2,-4
13.24,4,2,0,-3,-3,3,-3,-5,0,4,-5,4
13.27,4,9,0,0,-3,6,-5,-2,-4,2,0,-8
13.32,2,2,-4,0,-3,3,0,5,4,4,0,-4
13.35,4,2,-4,-3,2,3,0,-2,8,0,-2,0
13.37,-5,7,3,-3,-3,0,0,-5,11,4,0,0
13.42,0,7,3,-3,-5,6,0,0,8,4,0,-4
13.45,2,0,0,-3,0,3,0,-2,8,0,-2,-4
13.49,2,2,-4,0,-5,-4,0,-5,0,2,-5,-4
13.52,0,2,-4,-3,0,6,0,-2,4,2,0,-8
13.57,0,9,0,-3,-3,3,0,-2,-4,2,-2,4
13.62,-3,4,0,2,-3,3,0,0,8,0,0,-4
13.65,2,4,-4,-3,-5,3,0,-2,4,2,0,0
13.70,4,2,6,-5,-5,6,0,2,4,4,3,-4
13.73,0,7,0,2,-3,6,-3,-2,4,4,-2,-8
13.75,0,4,-4,-3,0,3,-3,-5,4,2,3,-12
13.80,0,2,0,2,0,3,-7,2,4,0,3,-4
13.83,0,4,0,2,2,6,-3,0,0,2,3,0
13.87,-3,2,3,2,-3,3,-3,-2,8,2,5,-4
13.90,0,2,-4,-3,-5,6,-5,0,4,2,3,0
13.93,0,4,-8,-5,-3,0,-3,0,4,4,0,-8
13.97,2,4,-4,-3,-3,6,0,-2,8,0,0,-4
14.00,-3,7,3,-3,2,6,-3,0,4,2,3,-4
14.05,2,4,3,-3,0,6,0,2,4,0,-2,0
14.08,0,2,-4,-3,-3,3,-5,0,4,0,0,-4
14.13,2,0,0,0,-3,10,-3,-2,4,0,0,-4
14.15,0,2,3,0,-5,6,0,-2,8,4,-2,-4
14.18,4,2,0,0,2,0,-5,0,0,2,-2,0
14.23,0,2,3,-3,0,0,-3,-2,4,-3,-2,0
14.26,2,4,0,-3,2,3,0,-2,4,2,3,-8
14.29,0,2,3,4,-3,6,-3,-2,4,2,3,4
14.33,4,7,0,-3,2,0,0,0,0,0,-2,0
14.36,6,0,3,0,2,10,0,0,0,2,3,0
14.39,0,4,0,-3,2,6,-3,5,8,0,3,0
14.43,0,4,-4,-3,-3,6,-3,-2,0,2,0,-12
14.47,0,0,-4,2,2,0,0,0,0,2,0,-4
14.51,4,2,-12,0,0,3,-5,0,8,2,0,-4
14.54,2,2,3,0,0,0,-5,2,0,4,0,0
14.57,4,2,-4,-3,-5,6,0,5,4,4,0,0
14.61,-3,2,3,-3,0,0,-3,0,4,4,0,-8
14.66,2,7,-4,2,-5,3,-7,2,8,4,3,-12
14.70,0,4,-8,0,0,0,-5,2,4,4,0,-8
14.74,2,0,-4,0,-3,6,2,-5,4,2,3,0
14.77,0,2,-4,2,-3,6,0,2,8,2,0,4
14.80,2,4,-8,7,2,3,-3,-2,4,2,-2,-4
14.84,6,0,0,0,0,3,-3,0,-4,0,-2,0
14.87,0,2,0,0,0,3,0,0,0,2,5,-8
14.92,4,-3,3,-3,-3,0,0,-2,4,-3,0,-8
14.95,2,7,3,2,-5,-4,2,0,11,2,5,0
14.99,-3,4,-4,4,0,0,-3,2,4,0,-2,-8
15.02,2,2,3,2,-3,0,-3,0,8,2,-2,-8
15.05,4,2,3,0,-3,0,-7,0,8,0,-2,-4
15.10,0,2,-8,2,-5,3,-7,0,4,2,0,-8
15.12,0,4,-4,-5,0,6,-3,-2,4,4,5,-8
15.15,0,7,-8,-3,-5,3,-5,-2,0,-3,0,-4
15.20,2,0,0,0,-3,3,-3,-2,8,0,3,-4
15.23,2,4,-4,0,0,3,-5,2,0,7,0,0
15.26,-3,4,-4,-3,-3,3,-3,-2,4,2,5,-8
15.30,0,7,0,-3,2,3,0,0,0,0,0,-8
